key,auc,auprc,accuracy,precision_,recall,f1,mcc,brier,specificity,threshold,train_time,ms_per_mol,n_params,epochs_run,stopped_early
HIV_PharmaJEGNN_3_9999,0.771270161,0.400510189,0.9748,0.6667,0.3871,0.4898,0.4964,0.101763502,0.9938,0.9898,262.4343452,34.12742601,4221185,,
HIV_PharmaJEGNN_3_7777,0.729519166,0.197837497,0.8553,0.1575,0.5227,0.2421,0.2286,0.159457371,0.8707,0.6391,265.2252421,35.22989138,4221185,,
HIV_PharmaJEGNN_3_5555,0.639330544,0.165358241,0.9468,0.2593,0.175,0.209,0.1863,0.076370865,0.9791,0.8753,263.3390224,33.72806581,4221185,,
HIV_PharmaJEGNN_3_1111,0.685953377,0.152045865,0.9364,0.22,0.3143,0.2588,0.2306,0.194272712,0.9592,0.5419,263.6920416,33.76100365,4221185,,
HIV_PharmaJEGNN_3_2222,0.706807934,0.264893895,0.9628,0.4231,0.3333,0.3729,0.3567,0.058015458,0.9844,0.8675,261.8471227,34.46454639,4221185,,
HIV_PharmaJEGNN_3_3333,0.688832789,0.245358829,0.9488,0.2895,0.3143,0.3014,0.2751,0.071636133,0.9719,0.8492,263.0163319,35.66634034,4221185,,
HIV_PharmaJEGNN_3_4444,0.664627643,0.150269418,0.9409,0.24,0.3636,0.2892,0.2658,0.122192793,0.9607,0.8032,267.5588932,34.87547692,4221185,,
HIV_PharmaJEGNN_3_6666,0.657388137,0.237827045,0.9627,0.3913,0.2812,0.3273,0.3131,0.051644213,0.9854,0.8717,267.4737353,35.07318679,4221185,,
HIV_PharmaJEGNN_3_8888,0.720816076,0.24375586,0.9457,0.3488,0.3659,0.3571,0.3289,0.254651994,0.9706,0.9046,262.6461608,33.71751524,4221185,,
HIV_PharmaJEGNN_3_314,0.680456731,0.139974117,0.9329,0.1875,0.2432,0.2118,0.179,0.211363241,0.9594,0.862,264.1130767,33.20621428,4221185,,
HIV_PharmaJEGNN_3_271,0.71459695,0.129027116,0.9257,0.169,0.4444,0.2449,0.2421,0.100137964,0.9391,0.6565,262.9572265,33.0787935,4221185,,
HIV_PharmaJEGNN_3_1618,0.776949684,0.28227641,0.9679,0.44,0.3793,0.4074,0.3921,0.050305806,0.9855,0.9007,266.1110258,33.92698981,4221185,,
HIV_PharmaJEGNN_3_1729,0.678162746,0.210831596,0.9708,0.4348,0.3846,0.4082,0.394,0.107735328,0.9866,0.8964,267.8464582,32.9524363,4221185,,
HIV_SchNet_3_42,0.683087028,0.211161999,0.9698,0.4545,0.1724,0.25,0.2674,0.234843209,0.9938,0.8499,151.6453419,32.80144393,1643009,,
HIV_SchNet_3_123,0.712697264,0.179444306,0.9538,0.36,0.2308,0.2812,0.2654,0.105492614,0.9833,0.7574,155.4536145,33.00874656,1643009,,
HIV_SchNet_3_456,0.647720126,0.209767563,0.9437,0.2778,0.25,0.2632,0.2343,0.15072687,0.9727,0.83,154.7330267,33.17645225,1643009,,
HIV_SchNet_3_789,0.763839717,0.239968208,0.9377,0.283,0.3846,0.3261,0.298,0.115230419,0.9603,0.6437,152.0262408,32.3614226,1643009,,
HIV_SchNet_3_1024,0.540551153,0.046941674,0.9286,0.08,0.1379,0.1013,0.0695,0.178133681,0.9524,0.6981,154.0654874,33.49526472,1643009,,
HIV_SchNet_3_2048,0.564800482,0.072493702,0.9597,0.1667,0.1667,0.1667,0.146,0.126836926,0.9794,0.8074,154.8642552,32.61986659,1643009,,
HIV_SchNet_3_3141,0.671602875,0.190151759,0.9689,0.5,0.1935,0.2791,0.2982,0.155919626,0.9938,0.9591,143.0529761,33.17896698,1643009,,
HIV_SchNet_3_9999,0.715618811,0.27248925,0.9728,0.6667,0.2581,0.3721,0.4041,0.21656321,0.9958,0.888,154.2915092,33.23268169,1643009,,
HIV_SchNet_3_7777,0.683634452,0.206930881,0.9377,0.3043,0.3182,0.3111,0.2786,0.10798043,0.9664,0.8929,156.2764983,33.40591373,1643009,,
