key,pearson_r,mae,rmse,train_time,ms_per_mol,n_params,epochs_run,stopped_early,dataset,model,level_id,seed
QM9_DimeNet_3_7777,0.7684682607650757,0.01008122693747282,0.012849809296392567,98.96437335014343,4.339467375591352,878849,37,1,QM9,DimeNet,3,7777
QM9_DimeNet_3_789,0.771343469619751,0.010273341089487076,0.013852954813050109,72.100998878479,4.083961959901997,878849,30,1,QM9,DimeNet,3,789
QM9_DimeNet_3_8888,0.734958827495575,0.010327698662877083,0.014510546311363757,74.2619993686676,4.072612534138501,878849,30,1,QM9,DimeNet,3,8888
QM9_DimeNet_3_9999,0.8169258832931519,0.010282008908689022,0.014067479645198172,120.78034710884094,4.172522867754369,878849,42,1,QM9,DimeNet,3,9999
QM9_DimeNet_4_1024,0.6683082580566406,0.010361304506659508,0.013924698985720768,129.56699991226196,1.9980482804281678,878849,52,1,QM9,DimeNet,4,1024
QM9_DimeNet_4_1111,0.7384153604507446,0.010430367663502693,0.01406276337555773,185.01099514961243,1.965563617886619,878849,74,1,QM9,DimeNet,4,1111
QM9_DimeNet_4_123,0.6898411512374878,0.012238238006830215,0.016624683520300235,87.3909981250763,1.9277952950718769,878849,35,1,QM9,DimeNet,4,123
QM9_DimeNet_4_1618,0.7394284009933472,0.010002153925597668,0.013153239357593181,118.58302021026611,1.9871927402887244,878849,48,1,QM9,DimeNet,4,1618
QM9_DimeNet_4_1729,0.8041744828224182,0.012919912114739418,0.01672441418068438,119.81439208984375,1.9516650975024719,878849,48,1,QM9,DimeNet,4,1729
QM9_DimeNet_4_2048,0.7580617666244507,0.012781544588506222,0.01692650256016458,109.7669985294342,1.9855094882708977,878849,44,1,QM9,DimeNet,4,2048
QM9_DimeNet_4_2222,0.718814492225647,0.009478192776441574,0.01271379597070586,79.9569981098175,2.0241350625004637,878849,32,1,QM9,DimeNet,4,2222
QM9_DimeNet_4_271,0.6492165327072144,0.010738386772572994,0.014944626579556941,107.36299967765808,1.9036410244172934,878849,43,1,QM9,DimeNet,4,271
QM9_DimeNet_4_314,0.7768324613571167,0.011760429479181767,0.01659772193887388,112.56200075149536,1.9596018022803896,878849,45,1,QM9,DimeNet,4,314
QM9_DimeNet_4_3141,0.6758336424827576,0.012061849236488342,0.016378281764908516,179.56900191307068,1.9279358442469163,878849,72,1,QM9,DimeNet,4,3141
QM9_DimeNet_4_3333,0.7082266211509705,0.010638723149895668,0.014423518670668255,79.57999897003174,1.9771983618894906,878849,32,1,QM9,DimeNet,4,3333
QM9_DimeNet_4_42,0.6893429756164551,0.013065803796052933,0.01780750123606766,79.79199838638306,1.9827031939814461,878849,32,1,QM9,DimeNet,4,42
QM9_DimeNet_4_4444,0.6989330053329468,0.010933845303952694,0.014796712089570016,109.1639986038208,1.8884543538355845,878849,44,1,QM9,DimeNet,4,4444
QM9_DimeNet_4_456,0.6516368389129639,0.011195513419806957,0.015939973507458988,82.83399963378906,1.9508621455653603,878849,33,1,QM9,DimeNet,4,456
QM9_DimeNet_4_5555,0.7620394229888916,0.012273462489247322,0.016283137940137568,141.71900129318237,1.8788640741841285,878849,57,1,QM9,DimeNet,4,5555
QM9_DimeNet_4_6666,0.6109479665756226,0.012093264609575272,0.01605014642247772,97.92099952697754,1.9681963318784648,878849,39,1,QM9,DimeNet,4,6666
QM9_DimeNet_4_7777,0.7068076133728027,0.010974044911563396,0.014242677869923783,121.37900114059448,1.96407758297066,878849,48,1,QM9,DimeNet,4,7777
QM9_DimeNet_4_789,0.7092496156692505,0.011263447813689709,0.015329181427549212,109.75200295448303,1.9282043055698341,878849,44,1,QM9,DimeNet,4,789
QM9_DimeNet_4_8888,0.7344070672988892,0.010381697677075863,0.014487027947341543,87.68399691581726,2.0133342828120506,878849,35,1,QM9,DimeNet,4,8888
QM9_DimeNet_4_9999,0.7837007641792297,0.010877881199121475,0.014672614054415828,98.53599905967712,1.9789783547215323,878849,39,1,QM9,DimeNet,4,9999
QM9_GIN_0_1024,0.7101202011108398,0.010099459439516068,0.013270977615319158,186.17599821090698,1.9621626839128143,1388033,80,0,QM9,GIN,0,1024
QM9_GIN_0_1111,0.501843273639679,0.013275333680212498,0.018208415188506948,153.13499903678894,1.9234634652218188,1388033,66,1,QM9,GIN,0,1111
QM9_GIN_0_123,0.6530070304870605,0.012517964467406273,0.01682797220980041,148.74399781227112,1.8921734547724731,1388033,64,1,QM9,GIN,0,123
QM9_GIN_0_1618,0.697813868522644,0.01032783929258585,0.013771245220727897,187.51800179481506,1.9083273109574899,1388033,80,0,QM9,GIN,0,1618
QM9_GIN_0_1729,0.5916626453399658,0.016594739630818367,0.022565511421042055,130.73099946975708,1.897395106186604,1388033,56,1,QM9,GIN,0,1729
QM9_GIN_0_2048,0.6945010423660278,0.013885014690458775,0.018642686639482934,174.6249976158142,1.9193267224589876,1388033,75,1,QM9,GIN,0,2048
QM9_GIN_0_2222,0.5726932287216187,0.011383254081010818,0.015511879534039385,170.76699995994568,1.9189103999704717,1388033,74,1,QM9,GIN,0,2222
QM9_GIN_0_271,0.6468240022659302,0.010328572243452072,0.014614516461311119,149.43799805641174,1.8951262749944642,1388033,65,1,QM9,GIN,0,271
QM9_GIN_0_314,0.722845196723938,0.01264383178204298,0.01797872527542626,185.71599698066711,1.9104632228777816,1388033,80,0,QM9,GIN,0,314
